no	state	constituency	nameofelectedmp	partyaffiliation
1	Andhra Pradesh	Araku	Goddeti Madhavi	YSR Congress Party
2	Andhra Pradesh	Srikakulam	Ram Mohan Naidu Kinjarapu	Telugu Desam Party
3	Andhra Pradesh	Vizianagaram	Bellana Chandra Sekhar	YSR Congress Party
4	Andhra Pradesh	Visakhapatnam	M. V. V. Satyanarayana	YSR Congress Party
5	Andhra Pradesh	Anakapalli	Beesetti Venkata Satyavathi	YSR Congress Party
6	Andhra Pradesh	Kakinada	Vanga Geetha	YSR Congress Party
7	Andhra Pradesh	Amalapuram	Chinta Anuradha	YSR Congress Party
8	Andhra Pradesh	Rajahmundry	Margani Bharat	YSR Congress Party
9	Andhra Pradesh	Narasapuram	Kanumuru Raghu Rama Krishna Raju	YSR Congress Party
10	Andhra Pradesh	Eluru	Kotagiri Sridhar	YSR Congress Party
11	Andhra Pradesh	Machilipatnam	Balashowry Vallabhaneni	YSR Congress Party
12	Andhra Pradesh	Vijayawada	Kesineni Srinivas	Telugu Desam Party
13	Andhra Pradesh	Guntur	Galla Jayadev	Telugu Desam Party
14	Andhra Pradesh	Narasaraopet	Lavu Sri Krishna Devarayalu	YSR Congress Party
15	Andhra Pradesh	Bapatla	Nandigam Suresh	YSR Congress Party
16	Andhra Pradesh	Ongole	Mugunta Sreenivasulu Reddy	YSR Congress Party
17	Andhra Pradesh	Nandyal	Pocha Brahmananda Reddy	YSR Congress Party
18	Andhra Pradesh	Kurnool	Ayushman Doctor Sanjeev Kumar	YSR Congress Party
19	Andhra Pradesh	Anantapur	Talari Rangaiah	YSR Congress Party
20	Andhra Pradesh	Hindupur	Kuruva Gorantla Madhav	YSR Congress Party
21	Andhra Pradesh	Kadapa	Y. S. Avinash Reddy	YSR Congress Party
22	Andhra Pradesh	Nellore	Adala Prabhakara Reddy	YSR Congress Party
23	Andhra Pradesh	Tirupati	Balli Durga Prasad Rao	YSR Congress Party
24	Andhra Pradesh	Rajampet	P. V. Midhun Reddy	YSR Congress Party
25	Andhra Pradesh	Chittoor	N. Reddeppa	YSR Congress Party
26	Arunachal Pradesh	Arunachal West	Kiren Rijiju	Bharatiya Janata Party
27	Arunachal Pradesh	Arunachal East	Tapir Gao	Bharatiya Janata Party
28	Assam	Karimganj	Kripanath Mallah	Bharatiya Janata Party
29	Assam	Silchar	Rajdeep Roy	Bharatiya Janata Party
30	Assam	Autonomous District	Horen Sing Bey	Bharatiya Janata Party
31	Assam	Dhubri	Badruddin Ajmal	All India United Democratic Front
32	Assam	Kokrajhar	Naba Kumar Sarania	Independent
33	Assam	Barpeta	Abdul Khaleque	Indian National Congress
34	Assam	Gauhati	Queen Oja	Bharatiya Janata Party
35	Assam	Mangaldoi	Dilip Saikia	Bharatiya Janata Party
36	Assam	Tezpur	Pallab Lochan Das	Bharatiya Janata Party
37	Assam	Nowgong	Pradyut Bordoloi	Indian National Congress
38	Assam	Kaliabor	Gaurav Gogoi	Indian National Congress
39	Assam	Jorhat	Topon Kumar Gogoi	Bharatiya Janata Party
40	Assam	Dibrugarh	Rameswar Teli	Bharatiya Janata Party
41	Assam	Lakhimpur	Pradan Baruah	Bharatiya Janata Party
42	Bihar	Valmiki Nagar	Baidyanath Prasad Mahto	Janata Dal (United)
43	Bihar	Paschim Champaran	Sanjay Jaiswal	Bharatiya Janata Party
44	Bihar	Purvi Champaran	Radha Mohan Singh	Bharatiya Janata Party
45	Bihar	Sheohar	Rama Devi	Bharatiya Janata Party
46	Bihar	Sitamarhi	Sunil Kumar Pintu	Janata Dal (United)
47	Bihar	Madhubani	Ashok Kumar Yadav	Bharatiya Janata Party
48	Bihar	Jhanjharpur	Ramprit Mandal	Janata Dal (United)
49	Bihar	Supaul	Dileshwar Kamait	Janata Dal (United)
50	Bihar	Araria	Pradeep Kumar Singh	Bharatiya Janata Party
51	Bihar	Kishanganj	Mohammad Jawed	Indian National Congress
52	Bihar	Katihar	Dulal Chandra Goswami	Janata Dal (United)
53	Bihar	Purnia	Santosh Kumar	Janata Dal (United)
54	Bihar	Madhepura	Dinesh Chandra Yadav	Janata Dal (United)
55	Bihar	Darbhanga	Gopal Jee Thakur	Bharatiya Janata Party
56	Bihar	Muzaffarpur	Ajay Nishad	Bharatiya Janata Party
57	Bihar	Vaishali	Veena Devi	Lok Janshakti Party
58	Bihar	Gopalganj	Alok Kumar Suman	Janata Dal (United)
59	Bihar	Siwan	Kavita Singh	Janata Dal (United)
60	Bihar	Maharajganj	Janardan Singh Sigriwal	Bharatiya Janata Party
